Contributor,Coverage,Creator,Date,Description,Duration,Language,Publisher,Rights,Source,Subject,Text,Title,Type,URL,added,collection_id,collection_resource,collection_url,featured,files_count,files_resource,files_url,id,item_type_id,item_type_name,item_type_resource,item_type_url,modified,owner_id,owner_resource,owner_url,public,tags,url


17
At the edges of digital humanities, entertainment meets the highest standards of scholarship in ways that forge a new trans-university audience for humanistic knowledge.


18
Beware of the false fellow travelers: they will wave the banners of change with continuity on their agenda.


19
Beware of the great diminishers: they will reduce anything in digital humanities and preface our work with ""just"" (it's just a tool; it's just an archive; it's just pedagogy). They have never built software, parsed code, created a database, or designed a user interface. They just write articles and books.


20
Digital humanities promote a flattening of the relationship between masters and disciples. A dedefinition of the roles of professor and student, expert and non-expert.

21
Digital humanities represents the woven together practice of research: a triangulation of arts practice, commentary/critique, and outreach, merging scholarly inquiry, pedagogy, publication and practice.


22
REMARKS ON THE FINITUDE OF DISCIPLINES


23
Many humanities disciplines were founded on and through the medium of print (the study of literature, history; translation); the rest valorize the printed word for the generation and dissemination of knowledge of their field. What does it mean to study ""literature"" or ""history"" when print is no longer the normative medium in which literary or historical artifacts are produced, let alone analyzed? What does it mean, more generally, for humanistic knowledge?


24
Digital Humanities is the last blow. In the 70s and 80s, women's studies, LGBTQ studies, ethnic studies, and cultural studies opened up the humanities to address issues of social, political, and cultural disenfranchisement and possibilities for re-enfranchisement. The Humanities was no longer the domain of the proverbial ""old white man."" Now, digital humanities deconstructs the very materiality, methods, and media of humanistic inquiry and practices. But we must continue to ask: Where did humanities disciplines come from, in response to what kind of needs, with what sort of explanatory power? How did its practices, truth-making strategies, knowledge products, media forms, and ways of evaluating utterances get naturalized??


25
The Humanities are contingent formations that have become stabilized and made culturally redundant at the university: As if we have always had The Department of X, which has produced knowledge about X, and therefore we can’t possibly imagine anything otherwise. Let X = literature departments (German, English, Spanish, Slavic, etc), Art History, Musicology, History, Philosophy, Classics, etc. Traditional Humanities is balkanized by nation, language, method, and media. Digital Humanities is about convergence: Not only between humanities disciplines and media forms, but also between the arts, sciences, and technologies.


26
How about a thought exercise in which we imagine different constellations (not just disciplinary constellations, but also other configurations of producing knowledge that can be team- and project-based, collaborative, open-ended, globally-oriented, engaging for new audiences and institutions).


27
Here are some new departments for the Humanities Division:


28
Department of Print Media Studies: Replacing literature departments, the purpose of this department is to study the materiality of texts, constructions of authorship, linguistic forms, the history of the book and book publication, antecedents to and descendents of print, as well as the relationships and tensions between print culture and digital culture.
Department of Discourse Analyses: The purpose of this department is to study the history of the triangulation of knowledge/discourse/power, paying particular attention to discursive structures, knowledge making, and the specific media forms in which knowledge is produced, disseminated, encountered, and valued.
Department of Comparative Media Studies: The purpose of this department is to study sonic, visual, tactile, and immersive media through a comparative framework. This department replaces the division of humanities departments by media form (departments of art history, musicology, film, etc).
Department of Digital Cultural Mapping: The purpose of this department is to examine the junctions between space/time, information, and culture. It brings geographic analyses together with historical methods, visual analysis, and the presentation of knowledge. It also examines the cultural and social impact of digital mapping technologies and the significance of these mapping technologies for understanding cultural phenomena.
Department of Cultural Analytics: The purpose of this department is to bring quantitative analyses from the math and sciences together with large-scale, complex social and cultural datasets.
We encourage you to come up with your own departments!


29
We must ask: Why do disciplines/departments in the humanities (vs. the sciences) not die? Why do we try to resuscitate and sustain disciplines? Here are some reasons (there are more): Cognitive Conservatism, Institutional Inertia, the fear of risk-taking, the tenure and promotion system which encourages repetition of truthful utterances within a discipline rather than innovation and risk taking, the dogged determination to ""replace"" faculty with the same...

30
Can we imagine more flexible, nimble, contingent disciplinary formations, in which faculty and students work on ""knowledge problematics"" not in rigid disciplines and departments, in which knowledge is produced and disseminated in ways that are multivalent, truly interdisciplinary, and conspicuously cognizant of their contingency?

Posted by digitalhumanities on December 15, 2008 ",<em>A Digital Humanities Manifesto (Precursor to The Digital Humanities Manifesto 2.0)</em>,,,2014-06-13T16:21:08+00:00,6,collections,http://digitalmanifesto.omeka.net/api/collections/6,,1,files,http://digitalmanifesto.omeka.net/api/files?item=19,19,1,Document,item_types,http://digitalmanifesto.omeka.net/api/item_types/1,2014-10-25T21:22:08+00:00,16245,users,http://digitalmanifesto.omeka.net/api/users/16245,True,Digital Humanities,http://digitalmanifesto.omeka.net/api/items/19
,France,Marin Dacos,"May 18 & 19, 2010","Developed out of a THATcamp in Paris, the authors of the <em>Manifesto for the Digital Humanities</em> attempt to define, situate, and guide the study of digital technologies in the humanities. Most pointedly, the authors of the <em>Manifesto for the Digital Humanities</em> call for a stronger methodological relation of the humanities to the social sciences.",,EN,,,"<a href=""http://tcp.hypotheses.org/411""><span><span>http://tcp.hypotheses.org/411</span></span></a>","THATcamp, Digital Humanities, Open Access","Manifesto for the Digital Humanities
Context

We, professionals or observers of the digital humanities (humanités numériques) came together in Paris for THATCamp on May 18th and 19th, 2010.

Over the course of these two days, we discussed, exchanged, and collectively reflected upon what the digital humanities are, and tried to imagine and invent what they could become.

At the close of the camp – which represents but a first step – we propose to the research communities, and to all those involved in the creation, publication, valorization or preservation of knowledge, a manifesto for the digital humanities.

I. Definition

1. Society’s digital turn changes and calls into question the conditions of knowledge production and distribution.

2. For us, the digital humanities concern the totality of the social sciences and humanities. The digital humanities are not tabula rasa. On the contrary, they rely on all the paradigms, savoir-faire and knowledge specific to these disciplines, while mobilizing the tools and unique perspectives enabled by digital technology.

3. The digital humanities designate a “transdiscipline”, embodying all the methods, systems and heuristic perspectives linked to the digital within the fields of humanities and the social sciences.

II. Situation

4. We observe:

- that experiments in the digital domain of the social sciences and humanities have multiplied in the last half century. What have emerged most recently are centers for digital humanities – which at the moment are themselves only protoypes or areas of application specific to the approach of digital humanities;

- that computational and digital approaches have greater technical, and therefore economic, research constraints; that these constraints provide an opportunity to foster collaborative work;

- that while a certain number of proven methods exist, they are not equally known or shared;

- that there are many communities deriving from shared interests in practices, tools, and various interdisciplinary goals – encoding textual sources, geographic information systems, lexicometry, digitization of cultural, scientific and technical heritage, web cartography, datamining, 3D, oral archives, digital arts and hypermedia literatures, etc. – and that these communities are converging to form the field of digital humanities.

III. Declaration

5. We, professionals of the digital humanities, are building a community of practice that is solidary, open, welcoming and freely accessible.

6. We are a community without borders. We are a multilingual and multidisciplinary community.

7. Our objectives are the advancement of knowledge, the improvement of research quality in our disciplines, the enrichment of knowledge and of collective patrimony, in the academic sphere and beyond it.

8. We call for the integration of digital culture in the definition of the general culture of the twenty-first century.

IV. Guidelines

9. We call for open access to data and metadata, which must be documented and interoperable, both technically and conceptually.

10. We support the dissemination, exchange and free modification of methods, code, formats and research findings.

11. We call for the integration of digital humanities education within social science and humanities curricula. We also wish to see the creation of diplomas specific to the digital humanities, and the development of dedicated professional education. Finally, we want such expertise to be considered in recruitment and career development.

12. We commit to building a collective expertise based upon a common vocabulary, a collective expertise proceeding from the work of all the actors involved. This collective expertise is to become a common good. It is a scientific opportunity, but also an opportunity for professional insertion in all sectors.

13. We want to help define and propagate best practices, corresponding to needs identified within or across disciplines, which should derive and evolve from debate and consensus within the communities concerned. The fundamental openness of the digital humanities nevertheless assures a pragmatic approach to protocols and visions, which maintains the right to coexistence of different and competing methods, to the benefit of both thought and practice.

14. We call for the creation of scalable digital infrastructures responding to real needs. These digital infrastructures will be built iteratively, based upon methods and approaches that prove successful in research communities.

Join us!",<em>Manifesto for the Digital Humanities</em>,Manifesto,,2014-06-13T16:29:52+00:00,6,collections,http://digitalmanifesto.omeka.net/api/collections/6,,1,files,http://digitalmanifesto.omeka.net/api/files?item=20,20,1,Document,item_types,http://digitalmanifesto.omeka.net/api/item_types/1,2014-10-26T14:45:22+00:00,16245,users,http://digitalmanifesto.omeka.net/api/users/16245,True,Digital Humanities,http://digitalmanifesto.omeka.net/api/items/20
,Global,Jussi Parikka,"June 19, 2011","In his<em> A Manifesto for Digital Spectrology</em>, Jussi Parikka compels the reader to use obsolete technology as a lens to 'look inside the machine.' All media have an afterlife that informs present technologies. <em>A Manifesto for Digital Spectrology</em> mobilizes the afterlife of obsolete technologies toward a method for interpreting, analyzing, and archiving the software and hardware of the present.",,EN,,,"<p><a href=""http://jussiparikka.net/2011/06/19/a-manifesto-for-digital-spectrology/"">http://jussiparikka.net/2011/06/19/a-manifesto-for-digital-spectrology/</a></p>
<p> </p>","Media Archaeology, Dead Media, Zombie Media","A Manifesto for Digital Spectrology

Digital Spectrology is that dirty work of a cultural theorist who wants to understand how power works in the age of circuitry. Power circulates not only in human spaces of cities, organic bodies or just plain things and objects. Increasingly, our archaeologies of the contemporary need to turn inside the machine, in order to illuminate what is the condition of existence of how we think, see, hear, remember and hallucinate in the age of software. This includes things discarded, abandoned, obsolete as much as the obscure object of desire still worthy of daylight. As such, digital archaeology deals with spectres too; but these ghosts are not only hallucinations of afterlife reached through the media of mediums, or telegraphics, signals from Mars, the screen as a window to the otherwordly; but in the electromagnetic sphere, dynamics of software, ubiquitous computing, clouds so transparent we are mistaken to think of them as soft. Media Archaeology shares a temporality of the dead and zombies with Hauntology. Dead media is never actually dead. So what is the method of a media archaeologist of technological ghosts? She opens up the hood, looks inside, figures out what are the processual technics of our politics and aesthetics: The Aesthetico-Technical.

- inspired by the work of MicroResearchlab – Berlin/London, the short text was written for Julian Konczak/Telenesia.",<em>A Manifesto for Digital Spectrology</em>,,,2014-06-14T18:37:05+00:00,7,collections,http://digitalmanifesto.omeka.net/api/collections/7,,1,files,http://digitalmanifesto.omeka.net/api/files?item=21,21,1,Document,item_types,http://digitalmanifesto.omeka.net/api/item_types/1,2014-10-25T21:27:37+00:00,16245,users,http://digitalmanifesto.omeka.net/api/users/16245,True,"Media Archaeology, Zombie Media",http://digitalmanifesto.omeka.net/api/items/21
,Global,Vanessa Ramos-Velasquez ,"Performance Date: February 2, 2011, Haus der Kulturen der Welt. Berlin, Germany","Vanessa Ramos-Velasquez's <em>Anthropophagic Re-Manifesto for the Digital Age</em> is an updated variation on the 1928 Manifesto Antropófago by Brazilian author Oswald de Andrade. By resituating Andrade's metaphor of colonialism as cannibalism, this manifesto advocates for new practices of consumption based on technological mediation.",26:53,EN,Vimeo,,"<a href=""http://vimeo.com/21013493"">http://vimeo.com/21013493</a>","Colonialism, Digital Anthropology",,<em>Digital Anthropophagy and the Anthropophagic Re-Manifesto for the Digital Age</em>,,,2014-06-14T18:42:28+00:00,7,collections,http://digitalmanifesto.omeka.net/api/collections/7,,1,files,http://digitalmanifesto.omeka.net/api/files?item=22,22,3,Moving Image,item_types,http://digitalmanifesto.omeka.net/api/item_types/3,2014-10-25T21:27:27+00:00,16245,users,http://digitalmanifesto.omeka.net/api/users/16245,True,Digital Anthropology,http://digitalmanifesto.omeka.net/api/items/22
,Global,Garnet Hertz and Jussi Parikka,,"In their coauthored <em>Five Principles of Zombie Media, </em>Garnet Hertz and Jussi Parikka call for the politicization of media archaeology and the opposition to planned obsolescence (i.e. e-waste). As it is ecologically oriented, this manifesto calls for a practice of media archaeology that reanimates 'out of date' media in new platforms, products, and aesthetic practices.",,EN,,,"<a href=""http://conceptlab.com/writing/hertz-parikka-2011-defunct-refunct-catalogue.pdf"">http://conceptlab.com/writing/hertz-parikka-2011-defunct-refunct-catalogue.pdf</a>","Media Archival, Media Archaeology",,<em>Five Principles of Zombie Media</em>,Manifesto,,2014-06-14T18:48:12+00:00,7,collections,http://digitalmanifesto.omeka.net/api/collections/7,,1,files,http://digitalmanifesto.omeka.net/api/files?item=23,23,1,Document,item_types,http://digitalmanifesto.omeka.net/api/item_types/1,2014-10-25T21:28:47+00:00,16245,users,http://digitalmanifesto.omeka.net/api/users/16245,True,"Media Archaeology, Zombie Media",http://digitalmanifesto.omeka.net/api/items/23
,Global,Bruce Sterling & Richard Kadrey,,"The authors of the <em>Dead Media Manifesto</em> declare the need for both an archive of outdated media and the reinvention of 'the book' to house it. In what is perhaps the first manifesto to call for what we now call 'media archaeology,' Bruce Sterling &amp; Richard Kadrey identify the need to document, archive, and teach a general audience about our digital past.",,EN,http://www.deadmedia.org,,"<a href=""http://www.deadmedia.org/modest-proposal.html"">http://www.deadmedia.org/modest-proposal.html</a>","Media Archaeology, Book Culture, Archival","The DEAD MEDIA Project
A Modest Proposal and a Public Appeal
by Bruce Sterling
bruces@well.com

Ever notice how many books there are about the Internet these days? About 13,493 so far, right? And how about ""multimedia?"" There are 8,784 books on this topic, even though no one has ever successfully defined the term. CD-ROM -- is there a single marketable topic left that hasn't been shovelwared into the vast digital mire that is CD-ROM? And how about the ""Information Superhighway"" and ""Virtual Reality""? Every magazine on the planet has done awestruck vaporware cover stories on these two consensus-hallucinations.

Our culture is experiencing a profound radiation of new species of media. The centralized, dinosaurian one- to-many media that roared and trampled through the 20th century are poorly adapted to the postmodern technological environment. The new media environment is aswarm with lumbering toothy digital mammals. It's all lynxes here, and gophers there, plus big fat venomous webcrawlers, appearing in Pleistocene profusion.

This is all well and good, and it's lovely that so many people are paying attention to this. Nothing gives me greater pleasure as a professional garage futurist than to ponder some weird new mutant medium and wonder how this squawking little monster is going to wriggle its way into the interstices between human beings. Still, there's a difference between this pleasurable contemplation of the technological sublime and an actual coherent understanding of the life and death of media. We have no idea in hell what we are doing to ourselves with these new media technologies, and no consistent way even to discuss the subject. Something constructive ought to be done about this situation.

I can't do much about it, personally, because I'm booked up to the eyeballs until the end of the millennium. So is my good friend Richard Kadrey, author of the COVERT CULTURE SOURCEBOOK. Both Kadrey and myself, however, recently came to a joint understanding that what we'd really like to see at this cultural conjunction is an entirely new kind of book on media. A media book of the dead.

Plenty of wild wired promises are already being made for all the infant media. What we need is a somber, thoughtful, thorough, hype-free, even lugubrious book that honors the dead and resuscitates the spiritual ancestors of today's mediated frenzy. A book to give its readership a deeper, paleontological perspective right in the dizzy midst of the digital revolution. We need a book about the failures of media, the collapses of media, the supercessions of media, the strangulations of media, a book detailing all the freakish and hideous media mistakes that we should know enough now not to repeat, a book about media that have died on the barbed wire of technological advance, media that didn't make it, martyred media, dead media. THE HANDBOOK OF DEAD MEDIA. A naturalist's field guide for the communications paleontologist.

Neither Richard Kadrey nor myself are currently in any position to write this proposed handbook. However, we both feel that our culture truly requires this book: this rich, witty, insightful, profusely illustrated, perfectbound, acid-free-paper coffee-table book, which is to be brought out, theoretically, eventually, by some really with-it, cutting-edge early-21st century publisher. The kind of book that will appear in seventeen different sections of your local chainstore: Political Affairs, Postmodern Theory, Computer Science, Popular Mechanics, Design Studies, the coffeetable artbook section, the remainder table -- you know, whatever.

It's a rather rare phenomenon for an established medium to die. If media make it past their Golden Vaporware stage, they usually expand wildly in their early days and then shrink back to some protective niche as they are challenged by later and more highly evolved competitors. Radio didn't kill newspapers, TV didn't kill radio or movies, video and cable didn't kill broadcast network TV; they just all jostled around seeking a more perfect app.

But some media do, in fact, perish. Such as: the phenakistoscope. The teleharmonium. The Edison wax cylinder. The stereopticon. The Panorama. Early 20th century electric searchlight spectacles. Morton Heilig's early virtual reality. Telefon Hirmondo. The various species of magic lantern. The pneumatic transfer tubes that once riddled the underground of Chicago. Was the Antikythera Device a medium? How about the Big Character Poster Democracy Wall in Peking in the early 80s?

Never heard of any of these? Well, that's the problem. Both Kadrey and I happen to be vague aficionados of this field of study, and yet we both suspect that there must be hundreds of dead media, known to few if any. It would take the combined and formidable scholarly talents of, say, Carolyn ""When Old Technologies Were New"" Marvin and Ricky ""Learned Pigs and Fireproof Women"" Jay to do this ambitious project genuine justice. Though we haven't asked, we kinda suspect that these two distinguished scholars are even busier than me and Kadrey, who, after all, are just science fiction writers who spend most of our time watching Chinese videos, reading fanzines and making up weird crap.

However. We do have one, possibly crucial, advantage. We have Internet access. If we can somehow convince the current digital media community-at-large that DEAD MEDIA is a worthwhile project, we believe that we may be able to compile a useful public-access net archive on this subject. We plan to begin with the DEAD MEDIA World Wide Web Page, on a site to-be-announced. Move on, perhaps, to alt.dead.media. Compile the Dead Media FAQ. We hope to exploit the considerable strengths of today's cutting-edge media to create a general public- domain homage to the media pioneers of the past.

Here's the deal. Kadrey and I are going to start pooling our notes. We're gonna make those notes freely available to anybody on the Net. If we can get enough net.parties to express interest and pitch in reports, stories, and documentation about dead media, we're willing to take on the hideous burdens of editing and system administration -- no small deal when it comes to this supposedly ""free"" information.

We both know that authors are supposed to jealously guard really swell ideas like this, but we strongly feel that that just ain't the way to do a project of this sort. A project of this sort is a spiritual quest and an act in the general community interest. Our net heritage belongs to all netkind. If you yourself want to exploit these notes to write the DEAD MEDIA HANDBOOK -- sure, it's our ""idea,"" our ""intellectual property,"" but hey, we're cyberpunks, we write for magazines like BOING BOING, we can't be bothered with that crap in this situation. Write the book. Use our notes and everybody's else's. We won't sue you, we promise. Do it. Knock yourself out.

I'll go farther, ladies and gentlemen. To prove the profound commercial potential of this tilt at the windmill, I'll personally offer a CRISP FIFTY-DOLLAR BILL for the first guy, gal, or combination thereof to write and publish THE DEAD MEDIA HANDBOOK. You can even have the title if you want it. Just keep in mind that me and Kadrey (or any combination thereof) reserve the right to do a book of our own on the same topic if you fail to sufficiently scratch our itch. The prospect of ""competition"" frightens us not at all. It never has, frankly. If there's room for 19,785 ""Guide to the Internet"" books, there has got to be room for a few useful tomes on dead media.

Think of it this way. How long will it be before the much-touted World Wide Web interface is itself a dead medium? And what will become of all those billions of thoughts, words, images and expressions poured onto the Internet? Won't they vanish just like the vile lacquered smoke from a burning pile of junked Victrolas? As a net.person, doesn't this stark realization fill you with a certain deep misgiving, a peculiarly postmodern remorse, an almost Heian Japanese sense of the pathos of lost things? If it doesn't, why doesn't it? It ought to.

Speaking of dead media and mono no aware -- what about those little poems that Lady Murasaki used to write and stick inside cleft sticks? To be carried by foot- messager to the bamboo-shrouded estate of some lucky admirer after a night's erotic tryst? That was a medium. That medium was very alive once, a mainstay of one of the most artistically advanced cultures on earth. And isn't it dead? What are we doing today that is the functional equivalent of the cleft sticks of Murasaki Shikibu, the world's first novelist? If we ignore her historical experience, how will we learn from our own?

Listen to the following, all you digital hipsters. This is Jaqueline Goddard speaking in January 1995. Jacqueline was born in 1911, and she was one of the 20th century's great icons of bohemian femininity. Man Ray photographed her in Paris in 1930, and if we can manage it without being sued by the Juliet Man Ray Trust, we're gonna put brother Man Ray's knock-you-down-and-stomp-you- gorgeous image of Jacqueline up on our vaporware Website someday. She may be the patron saint of this effort.

Jacqueline testifies: ""After a day of work, the artists wanted to get away from their studios, and get away from what they were creating. They all met in the cafes to argue about this and that, to discuss their work, politics and philosophy.... We went to the bar of La Coupole. Bob, the barman, was a terrible nice chap... As there was no telephone in those days everybody used him to leave messages. At the Dome we also had a little place behind the door for messages. The telephone was the death of Montparnasse.""

""The telephone was the death of Montparnasse."" Mull that Surrealist testimony over a little while, all you cafe-society modemites. Jacqueline may not grok TCP/IP, but she has been there and done that. I haven't stopped thinking about that remark since I first read it. For whom does the telephone bell toll? It tolls for me and thee -- sooner or later.

Can you help us? We wish you would, and think you ought to.

Bruce Sterling -- bruces@well.com
Richard Kadrey -- kadrey@well.com",<em>Dead Media Manifesto</em>,,,2014-06-14T18:52:26+00:00,7,collections,http://digitalmanifesto.omeka.net/api/collections/7,,1,files,http://digitalmanifesto.omeka.net/api/files?item=24,24,1,Document,item_types,http://digitalmanifesto.omeka.net/api/item_types/1,2014-10-25T21:29:37+00:00,16245,users,http://digitalmanifesto.omeka.net/api/users/16245,True,"Dead Media, Media Archaeology",http://digitalmanifesto.omeka.net/api/items/24
